Flood_ID,ISO,Country,Subregion,Region,Location,River Basin,Start Date,End Date,Duration,Language_ISO_639_3,Local_Languages,article_count,languages_found,americas_region
15,CUB,Cuba,Latin America and the Caribbean,Americas,"Matanzas, San Juan y Martinez, Pinar del Río",,2022-06-02,2022-06-06,4,spa,Spanish,2,spa,Caribbean
247,BLZ,Belize,Latin America and the Caribbean,Americas,"Belize city (Belize province), Orange walk, Corozal provinces",,2015-10-15,2015-10-19,4,eng,English,3,"eng, spa",Central America
150,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Corredores, Quepos, Golfito Canyons (Puntarenas); Sarapiquí, Heredia, San Isidro Cantons (Heredia Province); Jiménez, Turrialba, Paraíso, Cartago, Oreamuno, Alvarado, La Unión Cantons (Cartago Province); Siquirres, Tamanca, Limón, Guácimo, Pococí, Matina Cantons (Limon Province); San José, Alajuelita, Puriscal, Santa Ana, Moravia Cantons (San José); San Carlos, San Ramón, Guatoso Cantons (Alajuela).","Siquirres, Sarapiquí Rivers",2021-07-22,2021-07-28,6,spa,Spanish,1,spa,Central America
253,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Sarapiqui district (Heredia province); San Carlos district (Alajuela province); Turrialba district (Cartago province); Pococi, Talamanca districts (Limon province)",,2015-06-27,2015-07-09,12,spa,Spanish,4,spa,Central America
258,CRI,Costa Rica,Latin America and the Caribbean,Americas,"Guanacaste, Puntarenas",,2024-11-12,2024-11-26,14,spa,Spanish,5,spa,Central America
231,HND,Honduras,Latin America and the Caribbean,Americas,"Francisco Morazán, Olancho, Colón, Cortés (La Lima), Atlántida, Islas de La Bahía, Santa Bárbara, El Paraíso, Yoro, Gracias a Dios",,2017-10-23,2017-10-29,6,spa,Spanish,7,spa,Central America
82,MEX,Mexico,Latin America and the Caribbean,Americas,La Martinica (Jalisco State),,2025-07-15,2025-07-15,0,spa,Spanish,21,"eng, spa",Central America
83,MEX,Mexico,Latin America and the Caribbean,Americas,"Veracruz, Puebla, Hidalgo, San Luis Potosí, and Querétaro states",,2025-10-06,2025-10-09,3,spa,Spanish,30,spa,Central America
228,MEX,Mexico,Latin America and the Caribbean,Americas,"Chiapas, Tabasco, Veracruz",,2020-11-09,2020-11-10,1,spa,Spanish,51,"eng, spa",Central America
151,PAN,Panama,Latin America and the Caribbean,Americas,"Changuinola, Almirante, Chiriquí Grande (Bocas del Toro Province); Chiriquí, and Nabe-Buglé",,2021-07-22,2021-07-28,6,spa,Spanish,7,spa,Central America
169,PAN,Panama,Latin America and the Caribbean,Americas,"Cristóbal Town (Colón Province, central Panama), Las Garzas de Pacora locality (eastern Panama); Panamá Oeste, Chiriquí",,2021-06-12,2021-06-15,3,spa,Spanish,6,spa,Central America
189,PAN,Panama,Latin America and the Caribbean,Americas,"Calovébora Commune (Veraguas Province, western Panama); Colon Province (eastern Panama)",rio Bejuco,2020-08-09,2020-08-09,0,spa,Spanish,1,spa,Central America
42,CAN,Canada,Northern America,Americas,"Baie-Saint-Paul (Charlevoix Region), Saint-Côme and Sainte-Émélie-de-l'Énergie (Lanaudière Region, south-western Quebec).",,2023-05-01,2023-05-04,3,"eng, fra","English, French",24,"eng, fra",North America
168,USA,United States of America,Northern America,Americas,"Hawai‘i, Maui, Kalawao, Kaua‘i, Honolulu (Oahu Island, Hawaii)",,2021-03-08,2021-03-10,2,eng,English,8,eng,North America
207,USA,United States of America,Northern America,Americas,El Paso (Texas); Gila Bend (Arizona),,2021-08-10,2021-08-16,6,eng,English,4,eng,North America
229,USA,United States of America,Northern America,Americas,"Mississippi, Missouri, Kentucky, Tennessee, Arkansas, Alabama, Illinois, Indiana, Louisiana provinces",Mississippi river,2015-12-15,2016-01-06,22,eng,English,31,"eng, spa",North America
235,USA,United States of America,Northern America,Americas,"Texas, Oklahoma, Colorado, Arkansas, Kansas, Louisiana, Georgia, Ohio, South Carolina",,2015-05-23,2015-05-30,7,eng,English,9,eng,North America
248,USA,United States of America,Northern America,Americas,"East and West Canton (Van Zandt county) (Texas); Kampville (St Charles) (Missouri); Logan, Marion, Miles Station (Macoupin), Sumner (Lawrence), Pawnee (Sangamon) (Illinois); Natural Dam (Crawford), Mississipi, Clay (Arkansas); Oak ridge (Morehouse) (Louisiana) ; Labette (Kansas); Cameron (Le Flore) (Oklahoma); Goshen (Oldham) (Kentucky) ; Ohio; Pennsylvania; West Virginia ; Mississipi ; Alabama ; Tennesse ; Indiana","Mississippi river, Black River, White River, Illinois River, Big Muddy River, Meramec River, St. Francis River, Gasconade River",2017-04-28,2017-05-01,3,eng,English,7,eng,North America
250,USA,United States of America,Northern America,Americas,"Louisiana, Mississippi, Missouri, Illinois, Indiana; Allamakee, Clayton, Fayette, Howard, Winneshiek counties (Iowa)",,2016-08-09,2016-08-16,7,eng,English,9,"eng, por",North America
255,USA,United States of America,Northern America,Americas,"Fayette, Grimes, Harris, Parker counties, Houston districts (Texas province)",,2016-04-16,2016-04-19,3,eng,English,60,eng,North America
268,USA,United States of America,Northern America,Americas,"Dickson, Humphrey, and Hickman Counties (Tennessee)",,2021-08-21,2021-08-22,1,eng,English,4,eng,North America
159,ARG,Argentina,Latin America and the Caribbean,Americas,"Chaco, Salta, Tucumán,La Rioja Provinces",San Antonio River,2020-02-11,2020-02-19,8,spa,Spanish,2,spa,South America
152,BOL,Bolivia (Plurinational State of),Latin America and the Caribbean,Americas,"El Torno, Santa Cruz de la Sierra municipalities (Santa Cruz Department)",Pirai and Rio Grande rivers,2023-03-21,2023-03-27,6,spa,Spanish,5,spa,South America
11,BRA,Brazil,Latin America and the Caribbean,Americas,Oriximiná Municipality (northern Parà),Trombetas River,2021-04-19,2021-06-05,47,por,Portuguese,100,por,South America
17,BRA,Brazil,Latin America and the Caribbean,Americas,"Marilia, Botucatu, Laranjal Paulista,Taboao da Serra (Sao Paulo State)",,2020-02-09,2020-02-11,2,por,Portuguese,3,por,South America
62,BRA,Brazil,Latin America and the Caribbean,Americas,"Formosa da Serra Negra, São Roberto, São João do Sóter, Tuntum, Monção, Pindaré-Mirim, Conceição do Lago Açu, Lago da Pedra, Lagoa Grande do Maranhão, Carutapera, Governador Nunes Freire, Boa Vista do Gurupi, and Trizidela do Vale (Maranhao state)",,2024-04-01,2024-04-04,3,por,Portuguese,8,por,South America
79,BRA,Brazil,Latin America and the Caribbean,Americas,"Petrópolis, Angra dos Reis, São Paulo, Rio de Janeiro",,2025-04-03,2025-04-05,2,por,Portuguese,100,por,South America
188,BRA,Brazil,Latin America and the Caribbean,Americas,"Arroio do Meio, Colinas, Cruzeiro do Sul, Encantado, Estrela, Lajeado, Muçum, Roca Sales, Santa Tereza and Taquari (Rio Grande do Sul)",,2023-11-13,2023-11-19,6,por,Portuguese,4,por,South America
13,COL,Colombia,Latin America and the Caribbean,Americas,"San Pablo, Los Andes, Santa Cruz, Túquerres. (Nariño Department)",,2022-02-18,2022-02-22,4,spa,Spanish,22,"eng, spa",South America
14,COL,Colombia,Latin America and the Caribbean,Americas,"Viotá, Cachipay, Arbeláez Municipalities (Cundimarca)",,2022-04-21,2022-04-22,1,spa,Spanish,8,spa,South America
81,COL,Colombia,Latin America and the Caribbean,Americas,"Arauca, Caqueta, Choco, Putumayo, Vichada",,2025-06-01,2025-07-04,33,spa,Spanish,69,"eng, spa",South America
101,COL,Colombia,Latin America and the Caribbean,Americas,Ibagué City (central Tolima Departement),Combeima river,2021-09-22,2021-09-29,7,spa,Spanish,1,spa,South America
264,COL,Colombia,Latin America and the Caribbean,Americas,"Bosconia Municipality (Cesar Department); Montecristo, San Juan Municipalities (Bolivar Department); Bello Municipality (Antioquia Department); Norte de Santander, Nariño, Cauca, Tolima, Atlántico, Boyacá, Magdalena, Guajira departments",,2022-10-19,2022-10-31,12,spa,Spanish,5,spa,South America
104,ECU,Ecuador,Latin America and the Caribbean,Americas,"Cotopaxi, Azuay, Chimborazo, El Oro, Esmeraldas, Guayas, Los Ríos, Pichincha Provinces",,2022-03-07,2022-03-08,1,spa,Spanish,6,spa,South America
246,GUY,Guyana,Latin America and the Caribbean,Americas,"Barima Waini (region N°1), Demerara Mahaica (region N°4), Essequibo Islands/west Demerara (region N°3), Mahaica Berbice (region N°5), Pomeroon/supenaam (region N°2) provinces","Barima, Kaiturma",2015-07-15,2015-07-21,6,eng,English,7,"eng, spa",South America
61,PER,Peru,Latin America and the Caribbean,Americas,"Molinos District, Juja Province, Junín Department; San Juan District, Sihuas Province, Ancash Department",,2024-03-10,2024-03-12,2,spa,Spanish,22,spa,South America
160,PER,Peru,Latin America and the Caribbean,Americas,"Arequipa, Tacna, Cusco",,2020-02-17,2020-02-25,8,spa,Spanish,20,spa,South America
252,URY,Uruguay,Latin America and the Caribbean,Americas,"All departments Artigas, Canelones, Cerro Largo, Colonia, Durazno, Flores, Florida, Lavalleja, Montevideo, Paysandu, Rio Negro, Rivera, Rocha, Salto, San Jose, Soriano (Dolores, Cadol, Barrio Paris, Centro and Altos de Dolores), Tacuarembo, Treinta Y Tres provinces",,2016-04-12,2016-05-11,29,spa,Spanish,61,spa,South America
